all_gather
0	0	0	0	0
32	0	0	0	0
64	0	0	0	0
128	0	0	0	0
256	0	0.01	0.01	0
512	0.01	0.02	0.01	0.01
1024	0.02	0.03	0.03	0.02
2048	0.03	0.06	0.06	0.04
4096	0.06	0.12	0.11	0.08
8192	0.13	0.24	0.22	0.15
16384	0.25	0.42	0.43	0.30
32768	0.48	0.80	0.80	0.59
65536	0.90	1.29	1.49	1.12
131072	1.51	1.66	2.28	2.10
262144	2.28	2.54	2.52	3.77
524288	4.48	5.08	5.11	4.53
1048576	7.29	9.90	10.12	4.84
2097152	9.87	16.70	19.50	16.67
4194304	14.56	22.77	32.54	31.96
8388608	18.21	28.54	49.38	53.60
16777216	18.24	29.87	65.09	78.31
33554432	16.56	32.29	76.82	99.82
67108864	17.05	33.23	81.97	113.47
134217728	17.44	34.55	88.19	116.47
268435456	17.73	35.10	88.99	118.98
536870912	17.76	35.46	89.45	121.43
1073741824	17.81	35.54	89.68	122.79

scatter
0	0	0	0	0
8	0	0	0	0
16	0	0	0	0
32	0	0	0	0
64	0	0	0	0
128	0	0	0.01	0
256	0.01	0.01	0.01	0.01
512	0.01	0.02	0.02	0.02
1024	0.03	0.04	0.04	0.03
2048	0.05	0.07	0.09	0.06
4096	0.11	0.14	0.18	0.14
8192	0.21	0.28	0.36	0.24
16384	0.42	0.56	0.70	0.47
32768	0.82	1.09	1.41	1.36
65536	1.61	2.20	2.79	1.85
131072	2.96	4.18	5.65	3.81
262144	4.40	7.80	10.89	7.59
524288	9.53	11.90	19.87	19.69
1048576	15.42	26.27	29.28	38.90
2097152	22.98	49.81	58.71	56.59
4194304	26.65	78.98	93.01	95.26
8388608	28.48	107.95	120.64	121.05
16777216	28.93	108.56	121.12	108.25
33554432	29.17	125.51	141.93	122.87
67108864	29.32	126.99	153.78	122.91
134217728	29.17	129.95	153.70	140.41
268435456	29.01	98.35	154.90	149.64
536870912	29.03	76.97	127.60	152.14
1073741824	29	69.64	118.16	103.19

sendrecv
8	0	0	0	0
16	0	0	0	0
32	0	0	0	0
64	0	0	0	0
128	0	0.01	0.01	0.01
256	0.01	0.01	0.01	0.01
512	0.02	0.02	0.03	0.03
1024	0.03	0.04	0.05	0.05
2048	0.06	0.09	0.10	0.10
4096	0.12	0.17	0.20	0.20
8192	0.25	0.32	0.35	0.36
16384	0.50	0.64	0.74	0.76
32768	0.93	1.26	1.32	1.43
65536	1.62	2.23	2.46	2.55
131072	2.63	3.58	3.88	4.02
262144	4.70	6.43	7.59	7.85
524288	8.09	10.65	14.21	11.29
1048576	12.21	15.03	20.60	18.26
2097152	16.84	17.18	25.79	29.18
4194304	18.60	16.43	34.85	38.84
8388608	17.82	14.82	42.04	43.90
16777216	17.85	15.48	43.34	45.21
33554432	17.49	16.16	44.27	46.36
67108864	17.85	16.06	43.80	46.67
134217728	17.75	16.01	41.61	43.58
268435456	17.76	15.97	37.70	39.38
536870912	17.79	15.86	35.73	37.34
1073741824	17.71	15.79	35.10	36.74

