all_gather
0	0	0	0
32	0	0	0
64	0	0	0
128	0	0	0
256	0.01	0.01	0.01
512	0.02	0.02	0.02
1024	0.04	0.04	0.03
2048	0.07	0.08	0.06
4096	0.14	0.13	0.12
8192	0.28	0.31	0.24
16384	0.56	0.61	0.47
32768	1.04	1.20	0.93
65536	1.85	2.31	1.84
131072	3.12	4.34	3.58
262144	5.63	7.52	6.88
524288	9.46	12.78	12.35
1048576	19.40	19.40	19.56
2097152	32.32	37.84	35.37
4194304	46.97	56.45	53.48
8388608	60.40	73.99	73.77
16777216	72.20	88.46	91.11
33554432	78.87	99.37	103.80
67108864	85.16	102.50	110.65
134217728	92.10	107.23	113.02
268435456	97.26	110.99	115.19
536870912	100.38	114.46	117.33
1073741824	102.48	116.77	118.92

all_reduce
8	0	0	0
16	0	0	0
32	0	0	0
64	0	0.01	0
128	0.01	0.01	0.01
256	0.02	0.02	0.02
512	0.04	0.04	0.03
1024	0.07	0.08	0.07
2048	0.13	0.15	0.12
4096	0.26	0.29	0.24
8192	0.42	0.58	0.49
16384	0.94	1.17	0.94
32768	1.86	2.20	1.73
65536	3.46	3.29	2.17
131072	5.93	6.55	4.47
262144	10.34	11.77	8.63
524288	16.66	19.48	16.22
1048576	30.49	32.42	25.20
2097152	46.60	50.45	43.48
4194304	63.58	70.22	65.03
8388608	77.41	86.99	82.78
16777216	88.08	100.43	98.89
33554432	97.88	108.28	111
67108864	102.25	112.59	115.20
134217728	106.90	115.14	116.43
268435456	111.05	117.25	118.24
536870912	113.30	118.81	119.45
1073741824	115.61	119.74	120.11

alltoall
0	0	0	0
8	0	0	0
16	0	0	0
32	0	0	0
64	0	0	0
128	0	0.01	0.01
256	0.01	0.01	0.01
512	0.02	0.03	0.03
1024	0.03	0.05	0.06
2048	0.07	0.10	0.11
4096	0.13	0.20	0.22
8192	0.22	0.37	0.44
16384	0.45	0.66	0.83
32768	0.82	1.33	1.48
65536	1.54	2.45	2.91
131072	3.09	4.49	5.42
262144	5.99	8.81	9.89
524288	10.05	15.81	18.06
1048576	14.84	26.37	28.42
2097152	19.56	38.91	45.51
4194304	23.17	51.36	62.94
8388608	35.37	61.67	77.12
16777216	69.78	73.09	86.42
33554432	72.96	88.90	89.94
67108864	81.86	95.93	97.41
134217728	44.76	99.77	100.58
268435456	102.54	101.11	102.41
536870912	108.93	106.60	103.59
1073741824	113.10	110.48	108.02

alltoallv
0	0	0	0
8	0	0	0
16	0	0	0
32	0	0	0
64	0	0	0
128	0	0	0
256	0	0	0
512	0	0	0
1024	0	0	0
2048	0	0	0
4096	0	0	0
8192	0	0	0
16384	0	0	0
32768	0	0	0
65536	0	0	0
131072	0	0	0
262144	0	0	0
524288	0	0	0
1048576	0	0	0
2097152	0	0	0
4194304	0	0	0
8388608	0	0	0
16777216	0	0	0
33554432	0	0	0
67108864	0	0	0
134217728	0	0	0
268435456	0	0	0
536870912	0	0	0
1073741824	0	0	0

broadcast
8	0	0	0
16	0	0	0
32	0	0	0
64	0.01	0.01	0
128	0.01	0.01	0.01
256	0.02	0.02	0.02
512	0.04	0.04	0.04
1024	0.09	0.08	0.08
2048	0.17	0.16	0.16
4096	0.31	0.29	0.29
8192	0.59	0.49	0.48
16384	0.92	0.89	0.87
32768	1.83	1.78	1.73
65536	3.65	3.59	3.49
131072	7.03	6.82	6.70
262144	13.08	12.65	12.06
524288	24.23	23.01	22.33
1048576	38.16	36.92	35.84
2097152	54.48	52.76	50.87
4194304	71.09	67.03	66.01
8388608	87.39	85.77	84.05
16777216	95.66	92.77	93.10
33554432	116.25	107.43	105.96
67108864	128.64	113.21	112.55
134217728	138.16	116.86	116.38
268435456	141.37	117.88	118.06
536870912	142.76	118.64	118.72
1073741824	144.26	119.72	119.66

gather
0	0	0	0
8	0	0	0
16	0	0	0
32	0	0	0
64	0	0	0
128	0.01	0.01	0.01
256	0.01	0.02	0.02
512	0.02	0.03	0.04
1024	0.04	0.06	0.07
2048	0.08	0.13	0.15
4096	0.16	0.25	0.29
8192	0.29	0.49	0.58
16384	0.59	0.89	1.15
32768	1.02	1.83	2.07
65536	2.04	3.16	4.22
131072	4.11	6.23	7.38
262144	7.83	12.48	14.49
524288	15.01	23.24	28.70
1048576	26.48	43.06	51.91
2097152	46.58	69.94	82.41
4194304	69.53	100.05	113.36
8388608	91.43	125.50	134.76
16777216	106.38	131.94	140.23
33554432	107.75	125.20	138.28
67108864	116.69	133.22	144.94
134217728	125.95	139.09	147.58
268435456	131.09	144.38	148.02
536870912	135.44	138.05	144.92
1073741824	139.17	141.61	143.33

reduce
8	0	0	0
16	0	0	0
32	0	0	0
64	0.01	0.01	0
128	0.01	0.01	0.01
256	0.02	0.02	0.02
512	0.04	0.04	0.04
1024	0.09	0.08	0.08
2048	0.17	0.16	0.16
4096	0.32	0.30	0.28
8192	0.61	0.50	0.49
16384	0.91	0.89	0.86
32768	1.83	1.78	1.71
65536	3.87	3.73	3.62
131072	7.47	7.12	6.86
262144	13.48	13.03	12.44
524288	26.38	25.06	23.14
1048576	43.26	38.96	36.72
2097152	65.51	53.80	51.95
4194304	86.29	67.78	66.55
8388608	106.30	83.57	84.42
16777216	107.80	85.55	87.96
33554432	125.77	104.72	106.89
67108864	131.90	111.26	112.45
134217728	138.69	117.37	117.23
268435456	141.27	118.38	117.91
536870912	143.05	118.98	118.93
1073741824	143.54	119.69	119.71

reduce_scatter
0	0	0	0
32	0	0	0
64	0	0	0
128	0	0	0
256	0.01	0.01	0.01
512	0.02	0.02	0.02
1024	0.04	0.04	0.03
2048	0.08	0.08	0.06
4096	0.15	0.16	0.12
8192	0.30	0.32	0.25
16384	0.59	0.64	0.48
32768	1.10	1.25	0.95
65536	2.04	2.42	1.89
131072	3.42	4.59	3.67
262144	6.18	8.02	7.01
524288	10.70	13.70	12.40
1048576	18.01	21.47	19.91
2097152	29.40	36.29	34.67
4194304	42.60	54.15	51.89
8388608	54.79	71.68	72.16
16777216	66.12	85.54	89.28
33554432	73.73	95.26	102.20
67108864	81.54	100.61	108.24
134217728	90.47	104.55	111.73
268435456	97.40	109.60	114.41
536870912	103.35	113.10	116.69
1073741824	108.55	115.06	118.16

scatter
0	0	0	0
8	0	0	0
16	0	0	0
32	0	0	0
64	0	0	0
128	0	0.01	0.01
256	0.01	0.01	0.02
512	0.02	0.03	0.03
1024	0.04	0.06	0.07
2048	0.08	0.11	0.13
4096	0.15	0.22	0.27
8192	0.28	0.45	0.54
16384	0.58	0.85	1.07
32768	1.01	1.70	1.97
65536	2.02	3.05	3.93
131072	4.07	5.98	6.98
262144	7.70	11.61	13.29
524288	14.57	21.20	24.35
1048576	25.56	36.81	41.13
2097152	43.64	58.23	63.51
4194304	65.58	82.60	87.60
8388608	88.94	104.22	108
16777216	108.35	119.80	123.54
33554432	115.54	130.61	132.58
67108864	128.18	136.76	137.99
134217728	136.25	140.76	141.35
268435456	139.05	142.56	142.84
536870912	141.44	143.02	142.35
1073741824	142.67	144.02	145.18

sendrecv
8	0	0	0
16	0	0	0
32	0	0	0
64	0	0	0
128	0.01	0.01	0.01
256	0.02	0.02	0.02
512	0.04	0.04	0.04
1024	0.07	0.07	0.07
2048	0.14	0.13	0.13
4096	0.24	0.24	0.23
8192	0.47	0.47	0.47
16384	0.87	0.87	0.83
32768	1.60	1.59	1.52
65536	3.22	3.21	3.12
131072	6.26	6.11	6.06
262144	11.44	11.37	10.41
524288	21.30	19.56	16.27
1048576	33.49	29.53	21.96
2097152	47.39	40.75	29.26
4194304	60.12	55.21	35.17
8388608	76.92	65.03	39.25
16777216	84.07	73.85	41.80
33554432	98.94	79.81	43.35
67108864	108.25	83.41	82.83
134217728	113.69	113.76	112.42
268435456	115.97	115.78	115.53
536870912	116.87	116.72	116.49
1073741824	117.91	117.52	117.36

